id;authors;title
4;Shuai Wang and Maria Adamidou;Examining LGBTQ+-related Concepts in the Semantic Web: Link Discovery, Concept Drift, Ambiguity, and Multilingual Information Reuse
20;Enrico Motta, Francesco Osborne, Martino Pulici, Angelo Salatino and Iman Naja;Capturing the Viewpoint Dynamics in the News Domain
23;Teresa Liberatore, Paul Groth, Nachoem Wijnberg and Monika Kackovic;Influence beyond similarity: A Contrastive Learning approach to Object Influence Retrieval
25;Nacira Abbas, Alexandre Bazin, Jérôme David and Amedeo Napoli;Discovering a Representative Set of Link Keys in RDF Datasets
34;James Nevin, Pengyu Zhang, Paul Groth, Michael Lees, Dimitar Dimitrov and Stefan Dietze;Understanding the impact of entity linking on the topology of entity co-occurrence networks for social media analysis
37;Julien Breton, Mokhtar Boumedyen Billami, Max Chevalier and Cassia Trojahn;Empower CamemBERT Legal Entity Extraction With LLM Boostraping
38;David M. Schmidt, Mohammad Fazleh Elahi and Philipp Cimiano;Lexicalization Is All You Need: Examining the Impact of Lexical Knowledge in a Compositional QALD System
51;C. Maria Keet and Zubeida Khan;On the Roles of Competency Questions in Ontology Engineering
52;Inès Blin, Annette Ten Teije, Frank Van Harmelen and Ilaria Tiddi;Structured Representations for Narratives
58;Daniel Obraczka and Erhard Rahm;Comparing Symbolic and Embedding-Based Approaches for Relational Blocking
60;Daniel Vollmers, Nikit Srivastava, Diego Moussallem, Hamada Zahera and Axel-Cyrille Ngonga Ngomo;UniQ-Gen: Unified Query Generation across Multiple Knowledge Graphs
61;Damiano Duranti, Paolo Giorgini, Andrea Mazzullo, Marco Robol and Marco Roveri;LLM-Driven Knowledge Extraction in Temporal and Description Logics
67;Umair Qudus, Franck Lionel Tatkeu Pekarou, Ana Alexandra Morim da Silva, Michael Röder and Axel-Cyrille Ngonga Ngomo;FAVEL: Fact Validation Ensemble Learning
73;Sarah Binta Alam Shoilee, Victor de Boer and Jacco van Ossenbruggen;A Framework for Evaluating Entity Alignment Impact on Downstream Knowledge Discovery
74;Nandana Mihindukulasooriya, Sanju Tiwari, Daniil Dobriy, Finn Årup Nielsen, Tek Raj Chhetri and Axel Polleres;Scholarly Wikidata: Population and Exploration of Conference Data in Wikidata using LLMs
80;Fatima Maikore, Suvodeep Mazumdar, Amaka Offiah, Anthony Hughes, Sneha Roychowdhury, Katie Hocking and Vitaveska Lanfranchi;Understanding inflicted injuries in young children: An ontology based approach
81;Reham Alharbi, Valentina Tamma, Floriana Grasso and Terry Payne;A Review and Comparison of Competency Question Engineering Approaches
92;Philippe Lamarre, Jennie Andersen, Alban Gaignard and Sylvie Cazalens;A generic framework to better understand and compare FAIRness measures
93;Mark Adamik, Romana Pernisch, Ilaria Tiddi and Stefan Schlobach;ORKA: An Ontology for Robotic Knowledge Acquisition
98;Angelos Poulis, Eleni Tsalapati and Manolis Koubarakis;Transformers in the Service of Description Logic-based Contexts
104;Roberto Barile, Claudia D'Amato and Nicola Fanizzi;Additive Counterfactuals for Explaining Link Predictions on Knowledge Graphs
116;Nathalie Abadie, Solenn Tual, Charly Bernard, Julien Perret, Bertrand Duménieu and Joseph Chazalon;PeGazUs: A knowledge graph based approach to build multiscale historical/perpetual gazetteers
123;Gaya Mehenni and Amal Zouaq;Ontology-Constrained Generation of Domain-Specific Clinical Summaries
128;Riley Capshaw and Eva Blomqvist;Contextualizing Entity Representations for Zero-Shot Relation Extraction with Masked Language Models
129;Mauro Dragoni, Gianluca Apriceno and Tania Bailoni;Validating a Functional Status Knowledge Graph in a Large-scale Living Lab
132;Valentina Anita Carriero, Antonia Azzini, Ilaria Baroni, Mario Scrocca and Irene Celino;Human Evaluation of Procedural Knowledge Graph Extraction from Text with Large Language Models
145;Anton Gnatenko, Oliver Kutz and Nicolas Troquard;Modelling and Mining Knowledge about Computational Complexity
146;Michael Mitsios, Dharmen Punjani, Sara Abdollahi, Simon Gottschalk, Eleni Tsalapati, Elena Demidova and Manolis Koubarakis;Generating a Question Answering Dataset about Geographic Changes in a Knowledge Graph